UniProt_accession,Protein_name,Gene,Length
A0ABR0TXI9,Pentacotripeptide-repeat region of PRORP domain-containing protein,QM012_000548,986
A0A4S9EF04,Mitochondrial import inner membrane translocase subunit,QM012_006032,96
A0ABR0T4U4,Uncharacterized protein,QM012_005542,55
A0ABR0T5E8,Diacylglycerol O-acyltransferase,QM012_005312,498
A0ABR0T5L1,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005124,460
A0ABR0T5M4,Protein kinase domain-containing protein,QM012_005137,338
A0ABR0T5M7,LPXTG-domain-containing protein,QM012_005144,341
A0ABR0T630,NAD(P)-binding domain-containing protein,QM012_004981,347
A0ABR0T673,Amidohydrolase-related domain-containing protein,QM012_005026,936
A0ABR0T6L0,Inositol polyphosphate-related phosphatase domain-containing protein,QM012_004064,1059
A0ABR0T6L6,Kinase-like protein,QM012_005322,371
A0ABR0T758,Carboxylesterase type B domain-containing protein,QM012_004933,714
A0ABR0T761,Alpha/beta hydrolase fold-3 domain-containing protein,QM012_003918,351
A0ABR0T816,NCS1 nucleoside transporter family protein-like protein,QM012_003630,565
A0ABR0T8H4,Transmembrane protein,QM012_003913,151
A0ABR0T928,Rpr2-domain-containing protein,QM012_003030,220
A0ABR0T941,GH16 domain-containing protein,QM012_003484,385
A0ABR0T9B9,D-amino-acid oxidase,QM012_003120,367
A0ABR0T9Q0,Galactose mutarotase-like protein,QM012_003391,216
A0ABR0T9Y2,"endo-1,3(4)-beta-glucanase",QM012_002559,369
A0ABR0TA12,BZIP domain-containing protein,QM012_002606,500
A0ABR0TAT4,"Peptidase A22B, signal peptide peptidase",QM012_003139,655
A0ABR0TB45,DUF7165 domain-containing protein,QM012_002159,1559
A0ABR0TBE2,Peroxisomal membrane protein PEX16,QM012_002885,380
A0ABR0TBQ7,Amino acid transporter,QM012_002687,569
A0ABR0TBZ2,TRUD domain-containing protein,QM012_002453,782
A0ABR0TC11,histidine kinase,QM012_002162,762
A0ABR0TC84,Sof1-like protein domain-containing protein,QM012_002881,446
A0ABR0TCE1,SET domain-containing protein,QM012_001754,480
A0ABR0TCP5,WD40 repeat-like protein,QM012_002524,395
A0ABR0TCQ4,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001827,627
A0ABR0TCY0,WD40 repeat-like protein,QM012_001937,454
A0ABR0TD83,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_002041,551
A0ABR0TDD5,N-acetyltransferase domain-containing protein,QM012_001930,187
A0ABR0TDM4,Actin cytoskeleton-regulatory complex protein SLA1,QM012_001286,1135
A0ABR0TDP7,Uncharacterized protein,QM012_001698,78
A0ABR0TE13,Mitochondrial carrier,QM012_001420,312
A0ABR0TE21,Phospho-2-dehydro-3-deoxyheptonate aldolase,QM012_001929,377
A0ABR0TE83,Xylose isomerase-like TIM barrel domain-containing protein,QM012_001928,346
A0ABR0TEF5,Tyrosinase copper-binding domain-containing protein,QM012_001558,414
A0ABR0TER2,HNH nuclease domain-containing protein,QM012_001662,287
A0ABR0TFN4,NADH:flavin oxidoreductase/NADH oxidase N-terminal domain-containing protein,QM012_001093,429
A0ABR0TFN7,NIMA interactive protein,QM012_001520,581
A0ABR0TFN8,E2 ubiquitin-conjugating enzyme,QM012_001486,221
A0ABR0TFR4,Rab-GAP TBC domain-containing protein,QM012_001115,946
A0ABR0TGB7,Cupin type-2 domain-containing protein,QM012_000855,128
A0ABR0TGZ5,Arp2/3 complex 34 kDa subunit,QM012_009480,318
A0ABR0TH36,Phosphoribosyltransferase domain-containing protein,QM012_009335,204
A0ABR0THF7,NAD(P)-binding protein,QM012_001195,339
A0ABR0THK5,Dynein light intermediate chain,QM012_008749,535
A0ABR0TIB6,Uncharacterized protein,QM012_008849,842
A0ABR0TID1,Prion-inhibition and propagation HeLo domain-containing protein,QM012_009051,237
A0ABR0TIE7,Uncharacterized protein,QM012_009053,53
A0ABR0TIS7,RNA helicase,QM012_008836,1281
A0ABR0TJG6,Transcription factor tau subunit sfc1,QM012_008251,568
A0ABR0TJW8,Cysteine synthase 1,QM012_008580,378
A0ABR0TK46,FAD/NAD(P)-binding domain-containing protein,QM012_007609,205
A0ABR0TK50,Uncharacterized protein,QM012_008584,405
A0ABR0TKH4,NAD(P)-binding protein,QM012_007621,306
A0ABR0TKL3,UBA domain-containing protein,QM012_008493,908
A0ABR0TLL4,Zn(2)-C6 fungal-type domain-containing protein,QM012_007755,613
A0ABR0TLR3,VWFA domain-containing protein,QM012_007871,303
A0ABR0TLY3,HMG box domain-containing protein,QM012_008131,482
A0ABR0TMM3,BRCT domain-containing protein,QM012_007949,320
A0ABR0TMY5,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,QM012_007436,97
A0ABR0TNA1,Intradiol ring-cleavage dioxygenases domain-containing protein,QM012_007551,370
A0ABR0TNN1,Transaldolase,QM012_007168,327
A0ABR0TNT1,Peroxidase,QM012_006493,319
A0ABR0TPU4,RNA helicase,QM012_006877,1155
A0ABR0TQ98,3-dehydroquinate synthase,QM012_007014,388
A0ABR0TQB8,CP-type G domain-containing protein,QM012_006869,530
A0ABR0TQF5,Uncharacterized protein,QM012_005686,129
A0ABR0TQV9,Asl1-like glycosyl hydrolase catalytic domain-containing protein,QM012_005819,314
A0ABR0TQZ0,Galactose mutarotase-like protein,QM012_005852,409
A0ABR0TR02,AAA+ ATPase domain-containing protein,QM012_005892,1185
A0ABR0TR07,Uncharacterized protein,QM012_005755,97
A0ABR0TR39,"Flavonoid 3',5'-hydroxylase",QM012_005910,490
A0ABR0TR75,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_005966,590
A0ABR0TR93,NAD(P)-binding protein,QM012_005982,305
A0ABR0TRM7,J domain-containing protein,QM012_006090,382
A0ABR0TRP3,Zn(2)-C6 fungal-type domain-containing protein,QM012_006122,1021
A0ABR0TRY2,WIBG Mago-binding domain-containing protein,QM012_005870,200
A0ABR0TS47,Hemerythrin-like domain-containing protein,QM012_005979,265
A0ABR0TT53,Uncharacterized protein,QM012_004406,199
A0ABR0TT78,N-acetyltransferase domain-containing protein,QM012_004341,226
A0ABR0TTP6,Serine/threonine-protein phosphatase,QM012_004340,463
A0ABR0TTQ6,Enoyl reductase (ER) domain-containing protein,QM012_004647,370
A0ABR0TTU7,Uncharacterized protein,QM012_004732,175
A0ABR0TUF4,dual-specificity kinase,QM012_004531,1519
A0ABR0TUU1,DUF221-domain-containing protein,QM012_000086,822
A0ABR0TV11,GroES-like protein,QM012_004741,389
A0ABR0TV74,Transcription factor domain-containing protein,QM012_000027,701
A0ABR0TVC0,"DnaJ homolog 1, mitochondrial",QM012_004604,532
A0ABR0TVH9,DUF654-domain-containing protein,QM012_004906,697
A0ABR0TVS9,eRF1/Pelota-like N-terminal domain-containing protein,QM012_000499,516
A0ABR0TVW9,Uncharacterized protein,QM012_000267,540
A0ABR0TW45,Mitochondrial thiamine pyrophosphate carrier 1,QM012_000435,580
A0ABR0TWB6,Uncharacterized protein,QM012_000679,357
A0ABR0TWD3,Polyadenylation factor subunit 2,QM012_000590,628
A0ABR0TWF7,Uncharacterized protein,QM012_000144,189
A0ABR0TWU4,MINDY deubiquitinase domain-containing protein,QM012_000690,932
A0ABR0T4L6,Uncharacterized protein,QM012_005499,462
A0ABR0T5P9,FHA domain-containing protein,QM012_005179,380
A0ABR0T696,Uncharacterized protein,QM012_005482,352
A0ABR0T6G5,Ribulose-phosphate 3-epimerase,QM012_004019,249
A0ABR0T7C3,Alpha-actinin-2,QM012_004132,636
A0ABR0T7E4,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_003606,772
A0ABR0T818,Amino acid transporter transmembrane domain-containing protein,QM012_003311,479
A0ABR0T820,Quinate transporter,QM012_003314,533
A0ABR0T870,Tubulin-specific chaperone A,QM012_003370,113
A0ABR0T8W2,MoaB/Mog domain-containing protein,QM012_003627,290
A0ABR0T937,DUF5127 domain-containing protein,QM012_003752,329
A0ABR0T983,AFG1-like ATPase,QM012_003797,419
A0ABR0T9Q1,Cercosporin MFS transporter CTB4,QM012_003572,546
A0ABR0TA96,Aminoglycoside phosphotransferase domain-containing protein,QM012_002635,312
A0ABR0TAE0,Nudix hydrolase domain-containing protein,QM012_003068,381
A0ABR0TAJ8,fumarate hydratase,QM012_003230,508
A0ABR0TB32,MalT-like TPR region domain-containing protein,QM012_002144,248
A0ABR0TBG3,Eukaryotic translation initiation factor 3 subunit C,NIP1,854
A0ABR0TBG8,WKF domain-containing protein,QM012_002915,546
A0ABR0TBH9,Phage protein,QM012_002291,86
A0ABR0TBI7,Nuclear protein DGCR14,QM012_002823,472
A0ABR0TBQ6,BZIP domain-containing protein,QM012_002366,480
A0ABR0TCA7,Vps52-domain-containing protein,QM012_001711,652
A0ABR0TCF6,3-hydroxy-3-methylglutaryl coenzyme A reductase,QM012_001761,1119
A0ABR0TCJ4,SART-1 protein,QM012_002146,661
A0ABR0TCQ5,ABC multidrug transporter atrF,QM012_001861,1537
A0ABR0TCV0,NmrA-like domain-containing protein,QM012_001907,307
A0ABR0TD67,Fe2OG dioxygenase domain-containing protein,QM012_002466,379
A0ABR0TDE7,CNH domain-containing protein,QM012_002082,1040
A0ABR0TDJ3,Uncharacterized protein,QM012_002491,442
A0ABR0TE29,Uncharacterized protein,QM012_002045,569
A0ABR0TE62,ER transporter 6TM N-terminal domain-containing protein,QM012_001451,1077
A0ABR0TE64,BHLH domain-containing protein,QM012_002090,474
A0ABR0TE69,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,QM012_001473,116
A0ABR0TEH8,Glycoside hydrolase family 125 protein,QM012_001998,514
A0ABR0TEQ2,DNA/RNA-binding protein Alba-like domain-containing protein,QM012_001653,147
A0ABR0TEX4,Tropomyosin,QM012_001442,161
A0ABR0TEZ7,Serine/threonine-protein kinase BUR1,QM012_001261,550
A0ABR0TFB0,BTB domain-containing protein,QM012_000967,224
A0ABR0TFG3,Cellulase,QM012_001018,348
A0ABR0TFN0,DUF125-domain-containing protein,QM012_001007,286
A0ABR0TFN6,DUF1752-domain-containing protein,QM012_001083,559
A0ABR0TFR7,FAD-binding FR-type domain-containing protein,QM012_000807,763
A0ABR0TGE1,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_009188,542
A0ABR0TGL9,Multiple RNA-binding domain-containing protein 1,QM012_000910,819
A0ABR0TGY4,Oxysterol-binding protein,QM012_009477,523
A0ABR0TH30,amidase,QM012_009514,569
A0ABR0TH90,Lysophospholipase A,QM012_009565,328
A0ABR0THG6,Uncharacterized protein,QM012_009262,196
A0ABR0THK0,Uncharacterized protein,QM012_008763,356
A0ABR0TI21,Acyl-CoA N-acyltransferase VerG N-terminal domain-containing protein,QM012_008943,350
A0ABR0TI86,Uncharacterized protein,QM012_009021,244
A0ABR0TIB2,Uncharacterized protein,QM012_009033,229
A0ABR0TIB3,DNA excision repair protein,QM012_009471,1009
A0ABR0TIH2,PSP proline-rich domain-containing protein,QM012_009084,596
A0ABR0TIJ2,Autophagy-related protein 11,QM012_009511,1474
A0ABR0TIJ5,NAD-dependent epimerase/dehydratase domain-containing protein,QM012_009561,292
A0ABR0TIP2,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008170,547
A0ABR0TIU8,Amino acid permease/ SLC12A domain-containing protein,QM012_008231,549
A0ABR0TJ73,tRNA-splicing endonuclease subunit Sen2,QM012_008319,469
A0ABR0TK83,Integral membrane protein TmpA,QM012_009145,488
A0ABR0TKD4,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit,QM012_008252,645
A0ABR0TKK7,RNA polymerase II holoenzyme cyclin-like subunit,QM012_007737,383
A0ABR0TKU9,Defective in cullin neddylation protein,QM012_007648,250
A0ABR0TKX7,C3H1-type domain-containing protein,QM012_007879,532
A0ABR0TLH6,Putative gamma-glutamylcyclotransferase,QM012_008607,236
A0ABR0TME9,PB1 domain-containing protein,QM012_007252,562
A0ABR0TMF0,Karyogamy protein,QM012_008126,831
A0ABR0TMH5,E2 ubiquitin-conjugating enzyme,QM012_008070,138
A0ABR0TMI4,Catalase,QM012_007282,571
A0ABR0TMM1,PNPLA domain-containing protein,QM012_007930,628
A0ABR0TMT4,Bicarbonate transporter-like transmembrane domain-containing protein,QM012_008005,611
A0ABR0TMW4,Cupin 2 conserved barrel domain-containing protein,QM012_008054,226
A0ABR0TMY2,Superoxide dismutase [Cu-Zn],QM012_007169,154
A0ABR0TNB7,Thiolase-like protein,QM012_007571,343
A0ABR0TNS7,tripeptidyl-peptidase II,QM012_006407,648
A0ABR0TP69,Nucleolar protein 16,QM012_006653,232
A0ABR0TP85,DNA 3'-5' helicase,QM012_007397,1508
A0ABR0TPH6,Uncharacterized protein,QM012_006769,64
A0ABR0TPS5,Uncharacterized protein,QM012_006862,1032
A0ABR0TQ40,Enoyl reductase (ER) domain-containing protein,QM012_006631,356
A0ABR0TQF1,MAPEG-domain-containing protein,QM012_006962,159
A0ABR0TQW2,J domain-containing protein,QM012_005846,976
A0ABR0TRA1,Large ribosomal subunit protein bL33m,QM012_005797,59
A0ABR0TRD8,FAD-binding FR-type domain-containing protein,QM012_006031,560
A0ABR0TRF6,MARVEL domain-containing protein,QM012_006043,297
A0ABR0TRZ2,Alpha-L-arabinofuranosidase,QM012_005659,498
A0ABR0TS21,COX assembly mitochondrial protein,QM012_006239,152
A0ABR0TS87,Uncharacterized protein,QM012_006311,334
A0ABR0TSL4,Complex III subunit 9,QM012_005869,65
A0ABR0TT23,Ysc84 actin-binding domain-containing protein,QM012_006309,657
A0ABR0TT63,Adenylyl-sulfate kinase,QM012_004467,206
A0ABR0TTD6,ribonuclease H,QM012_006138,305
A0ABR0TTE1,SWR1-complex protein 5,QM012_006153,343
A0ABR0TU10,Bifunctional cytochrome P450/NADPH--P450 reductase,QM012_004749,1067
A0ABR0TV23,Phosphatidylethanolamine N-methyltransferase,QM012_004756,965
A0ABR0TW31,RRM domain-containing protein,QM012_000561,370
A0ABR0TW37,HpcH/HpaI aldolase/citrate lyase domain-containing protein,QM012_000009,255
A0ABR0TX07,P-loop containing nucleoside triphosphate hydrolase protein,QM012_000535,1644
A0ABR0TX95,"RNA polymerase I associated factor, A49-like protein",QM012_000749,435
A0ABR0T551,Fe2OG dioxygenase domain-containing protein,QM012_005250,409
A0ABR0T552,Methyltransferase domain-containing protein,QM012_005458,264
A0ABR0T5D9,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_005417,438
A0ABR0T5F9,ZIP zinc/iron transport family,QM012_005328,353
A0ABR0T6G7,SCA7 domain-containing protein,QM012_005277,101
A0ABR0T6T8,Chaps-domain-containing protein,QM012_005131,677
A0ABR0T6W4,NPD-domain-containing protein,QM012_005161,358
A0ABR0T7A6,Uncharacterized protein,QM012_005217,371
A0ABR0T7F0,FAD-binding domain-containing protein,QM012_003622,445
A0ABR0T7N3,MMS19 nucleotide excision repair protein,QM012_004100,1020
A0ABR0T7T3,NAD(P)-binding protein,QM012_004038,95
A0ABR0T7W7,Uncharacterized protein,QM012_003789,515
A0ABR0T7Y5,MFS monocarboxylate transporter-like protein,QM012_003803,461
A0ABR0T8B5,Zn(2)-C6 fungal-type domain-containing protein,QM012_003339,730
A0ABR0T910,Vacuolar protein sorting-associated protein 29,QM012_003766,223
A0ABR0T971,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_003305,609
A0ABR0T9D3,Biogenesis of lysosome-related organelles complex 1 subunit KXD1,QM012_003574,187
A0ABR0T9F5,Mitochondrial import inner membrane translocase subunit TIM50,QM012_003380,368
A0ABR0T9J1,N-acetyltransferase domain-containing protein,QM012_003512,196
A0ABR0TA36,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_003065,752
A0ABR0TA62,Glutamine synthetase,QM012_003217,488
A0ABR0TA63,Beta-lactamase-related domain-containing protein,QM012_002644,588
A0ABR0TAC8,GMP synthase [glutamine-hydrolyzing],QM012_003053,544
A0ABR0TAT8,"ATP synthase subunit delta, mitochondrial",QM012_002845,638
A0ABR0TAX9,F-box domain-containing protein,QM012_002598,421
A0ABR0TB84,Sec63-domain-containing protein,QM012_002198,1979
A0ABR0TB97,CBS-domain-containing protein,QM012_002208,669
A0ABR0TBA0,Oxysterol-binding protein,QM012_002218,442
A0ABR0TBC7,PH domain-containing protein,QM012_002616,933
A0ABR0TBP1,Uncharacterized protein,QM012_002672,225
A0ABR0TCH7,Transport protein particle component,QM012_002497,252
A0ABR0TCT4,Prenylcysteine lyase domain-containing protein,QM012_002220,511
A0ABR0TCT5,Peptidase C14 caspase domain-containing protein,QM012_001889,76
A0ABR0TDB2,Uncharacterized protein,QM012_002511,385
A0ABR0TDG8,Subtelomeric hrmA-associated cluster protein AFUB-079030/YDR124W-like helical bundle domain-containing protein,QM012_001227,613
A0ABR0TDL5,Uncharacterized protein,QM012_001278,76
A0ABR0TDU4,Uncharacterized protein,QM012_001955,59
A0ABR0TDV6,Uncharacterized protein,QM012_001373,77
A0ABR0TE47,Tetraspanin Tsp3,QM012_001883,288
A0ABR0TE99,Uncharacterized protein,QM012_001508,78
A0ABR0TEE0,Phospholipase,QM012_001988,868
A0ABR0TEI3,WW domain-containing protein,QM012_001984,1223
A0ABR0TEI5,N-acetylglucosamine-6-phosphate deacetylase,QM012_002094,397
A0ABR0TEP2,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001634,545
A0ABR0TEP4,Presequence translocated-associated motor subunit PAM17,QM012_001647,215
A0ABR0TF63,histidine kinase,QM012_000921,1205
A0ABR0TFC2,Uncharacterized protein,QM012_000979,71
A0ABR0TFH2,Uncharacterized protein,QM012_001025,407
A0ABR0TFR2,"D-arabinono-1,4-lactone oxidase",QM012_001113,556
A0ABR0TFV3,Proteasome subunit alpha type,QM012_001164,268
A0ABR0TGC1,NADH-ubiquinone oxidoreductase-like protein 21 kDa subunit,QM012_009259,192
A0ABR0TGD8,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001169,559
A0ABR0TGN4,SAC domain-containing protein,QM012_000925,964
A0ABR0TGQ4,ATP-dependent rRNA helicase RRP3,QM012_009308,513
A0ABR0TH43,LicD/FKTN/FKRP nucleotidyltransferase domain-containing protein,QM012_009521,336
A0ABR0TIP3,Fanconi-associated nuclease,QM012_008862,814
A0ABR0TIP6,Uncharacterized protein,QM012_009556,904
A0ABR0TJC6,H/ACA ribonucleoprotein complex subunit NOP10,QM012_008407,66
A0ABR0TJR0,beta-glucosidase,QM012_008434,803
A0ABR0TK60,FAD-binding domain-containing protein,QM012_008664,393
A0ABR0TKQ4,Glycolipid transfer protein domain-containing protein,QM012_008323,201
A0ABR0TLZ8,TPR domain protein,QM012_007724,575
A0ABR0TM01,Uncharacterized protein,QM012_007117,445
A0ABR0TM23,Hpc2-related domain-containing protein,QM012_007132,646
A0ABR0TM28,Class II aldolase/adducin N-terminal domain-containing protein,QM012_007920,286
A0ABR0TM44,Peptidase S54 rhomboid domain-containing protein,QM012_008006,587
A0ABR0TM60,Integral membrane protein,QM012_007784,241
A0ABR0TM90,Phosphatidyl-N-methylethanolamine N-methyltransferase,QM012_008066,204
A0ABR0TMI2,Cupin type-2 domain-containing protein,QM012_007204,174
A0ABR0TMQ9,Uncharacterized protein,QM012_007361,121
A0ABR0TNG8,Rhodopsin domain-containing protein,QM012_007411,375
A0ABR0TP82,Ras-domain-containing protein,QM012_006667,290
A0ABR0TQ52,Uncharacterized protein,QM012_006993,164
A0ABR0TQJ2,Protein kinase domain-containing protein,QM012_007007,241
A0ABR0TQM6,Lysosomal dipeptide transporter MFSD1,QM012_006822,545
A0ABR0TQT2,ML-like domain-containing protein,QM012_005818,745
A0ABR0TQU3,RWD domain-containing protein,QM012_006882,232
A0ABR0TQU8,Ribosome quality control complex subunit 2,QM012_005826,1086
A0ABR0TRG9,non-specific serine/threonine protein kinase,QM012_006056,1032
A0ABR0TRJ0,RRM domain-containing protein,QM012_006066,386
A0ABR0TRM2,tRNA (uracil-O(2)-)-methyltransferase,QM012_006925,593
A0ABR0TRN6,CID domain-containing protein,QM012_005932,447
A0ABR0TSR5,TauD/TfdA-like domain-containing protein,QM012_004314,718
A0ABR0TST9,DUF1793-domain-containing protein,QM012_005943,542
A0ABR0TT34,AB hydrolase-1 domain-containing protein,QM012_004434,550
A0ABR0TTM7,DNA damage-inducible protein 1,QM012_004633,475
A0ABR0TU80,Uncharacterized protein,QM012_004456,504
A0ABR0TUD0,"Cytochrome c oxidase subunit 8, mitochondrial",QM012_004501,73
A0ABR0TUH3,FAD dependent oxidoreductase domain-containing protein,QM012_000046,510
A0ABR0TUK6,Velvet domain-containing protein,QM012_004365,77
A0ABR0TUL0,Histone chaperone RTT106/FACT complex subunit SPT16-like middle domain-containing protein,QM012_004349,445
A0ABR0TVD9,Uncharacterized protein,QM012_000361,206
A0ABR0TVS5,Anaphase-promoting complex subunit 5,QM012_000380,775
A0ABR0TVS7,Uncharacterized protein,QM012_000416,68
A0ABR0TVT1,Myb-like domain-containing protein,QM012_000487,516
A0ABR0TW58,CTP synthase,QM012_000619,568
A0ABR0TW98,Large ribosomal subunit protein uL23 N-terminal domain-containing protein,QM012_000652,156
A0ABR0TWC9,Uncharacterized protein,QM012_000389,887
A0ABR0TWP3,Beta-lactamase-related domain-containing protein,QM012_000223,402
A0ABR0TXW3,DUF1446-domain-containing protein,QM012_000758,630
A0A4S9WTE7,Uncharacterized protein,QM012_004444,206
